Lake,Country,Lat,Long,Elevation,Depth,MAAT,SW T,BW T,SW pH,BW pH
Albert,UG,1.683,30.917,615,58.0,26.8,27.9,27.9,9.0,9.0
Alice,KN,-0.076,37.465,3561,26.5,9.6,12.6,13.6,7.4,8.4
Bandasa,KN,-0.157,37.449,2938,0.3,12.8,14.8,14.8,8.5,8.5
Bigata,UG,0.307,29.883,3983,17.5,4.2,8.3,5.3,5.2,6.0
Bugwagi,UG,-0.200,30.183,1061,85.0,24.0,26.5,24.7,8.8,7.2
Bujuku,UG,0.378,29.893,3891,14.0,4.6,6.9,6.9,6.2,5.9
Bukurungu East,UG,0.400,29.900,3801,17.3,5.4,9.7,6.7,3.8,3.8
Chibwera,UG,-0.150,30.150,975,11.7,24.6,26.9,25.4,8.5,8.3
Ellis,KN,-0.124,37.401,3474,15.5,10.1,12.6,12.6,7.4,7.4
Emerald Tarn,KN,-0.152,37.295,4345,4.0,5.7,7.4,7.4,6.9,6.9
Enchanted,KN,-0.172,37.336,4237,33.3,6.3,8.2,8.2,7.6,7.6
Gallery Tarn,KN,-0.164,37.325,4466,10.4,5.1,7.1,7.1,7.6,7.6
Hanging Tarn,KN,-0.156,37.333,4443,7.5,5.2,8.6,8.6,7.9,7.9
Harris Tarn,KN,-0.151,37.319,4752,7.1,3.7,5.5,5.5,7.9,7.9
Hausburg Tarn,KN,-0.145,37.301,4371,10.7,5.6,7.9,7.9,8.4,8.4
Hohnell,KN,-0.183,37.290,4212,8.5,6.4,7.9,7.9,7.3,7.3
Hut Tarn,KN,-0.157,37.299,4504,7.9,4.9,5.7,5.7,7.6,7.6
Ibada Pool,UG,0.360,30.018,1735,4.6,18.4,15.3,14.8,7.9,8.0
Ibamba,UG,-0.200,30.200,1077,1.2,23.8,25.7,21.9,6.9,6.3
Irene,UG,0.383,29.883,4487,3.5,1.6,2.6,2.6,5.8,5.8
Kacuba,UG,-0.333,30.017,1097,14.5,23.5,26.8,26.8,8.1,8.1
Kaitabarago,UG,0.700,30.267,1551,70.0,19.9,23.1,21.6,8.0,6.0
Kako,UG,-0.300,30.100,1499,29.0,21.2,25.0,23.4,8.2,6.7
Kamweru,UG,-0.250,30.117,1250,44.0,22.5,25.0,23.3,8.7,6.6
Kanganyika,UG,0.286,29.897,3822,25.0,5.1,8.5,7.1,5.3,4.9
Kanyabutetere,UG,0.417,30.283,1188,5.0,22.8,25.6,24.4,8.6,7.8
Kanyamansira,UG,0.417,30.300,1177,30.0,22.9,25.9,23.7,9.0,7.0
Kanyanchu,UG,0.433,30.317,1226,4.8,22.5,26.2,23.7,8.2,7.9
Karolero,UG,-0.333,30.033,1114,15.0,23.5,26.7,25.5,8.2,7.3
Kasenda,UG,0.433,30.283,1260,13.5,22.3,25.8,23.6,8.5,6.9
Kasirya,UG,-0.250,30.133,1235,43.0,22.3,26.3,23.2,8.7,6.6
Katanda,UG,0.483,30.267,1340,146.0,21.6,24.0,22.6,8.5,7.0
Kifuruka,UG,0.483,30.283,1402,4.2,21.1,23.4,21.9,7.8,7.4
Kikorongo,UG,-0.008,30.017,925,9.7,25.1,28.8,25.3,9.7,9.6
Kisibendi,UG,0.383,30.300,1126,4.5,23.3,25.0,22.7,9.3,6.2
Kitere,UG,0.400,30.250,1252,51.0,23.1,26.7,23.8,9.0,7.1
