Lake,III,IIIb,IIIc,II,IIb,IIc,I,Ib,Ic,MBT,CBT,MBT/CBT MAAT,MAAT,SW T,BW T,SW pH,BW pH,Depth,MbrGDGTs MAAT,SFS MAAT
Albert,0.085,0.002,0,0.464,0.047,0.004,0.332,0.054,0.012,0.4,0.9,NA,26.8,27.9,27.9,9.0,9.0,58.0,NA,NA
Alice,0.197,0.005,0,0.53,0.057,0.007,0.18,0.018,0.005,0.2,0.98,6.8,9.6,12.6,13.6,7.4,8.4,26.5,8,7.9
Bandasa,0.086,0.002,0.001,0.451,0.033,0.007,0.362,0.047,0.013,0.42,1.01,16.5,12.8,14.8,14.8,8.5,8.5,0.3,16.2,15.2
Batodaa,0.339,0.002,0.001,0.449,0.014,0.003,0.186,0.006,0.001,0.19,1.5,3.7,4.2,7.5,6.1,5.2,5.0,16.0,3.8,4.9
Bigata,0.31,0.002,0.001,0.451,0.012,0.006,0.214,0.004,0.001,0.22,1.62,4.3,4.2,8.3,5.3,5.2,6.0,17.5,5.1,4.5
Bugwagi,0.031,0.005,0.001,0.31,0.127,0.012,0.343,0.15,0.021,0.51,0.37,23.9,24.0,26.5,24.7,8.8,7.2,85.0,24,25.7
Bujuku,0.411,0.004,0.001,0.383,0.029,0.006,0.15,0.013,0.003,0.17,1.1,4.5,4.6,6.9,6.9,6.2,5.9,14.0,2.6,2.8
Bukurungu East,0.258,0.002,0.001,0.464,0.017,0.008,0.243,0.005,0.003,0.25,1.51,6.3,5.4,9.7,6.7,3.8,3.8,17.3,7.3,5.2
Challaa,0.094,0.006,0,0.399,0.092,0.006,0.302,0.088,0.012,0.4,0.59,17.8,23.4,24.6,22.0,8.9,7.3,92.0,17.7,19.6
Chibwera,0.054,0.004,0.001,0.293,0.105,0.011,0.386,0.121,0.026,0.53,0.48,24.3,24.6,26.9,25.4,8.5,8.3,11.7,23.4,23.2
Edwarda,0.121,0.006,0,0.371,0.117,0.02,0.249,0.096,0.02,0.37,0.46,16.8,25.1,26.8,25.8,8.9,8.1,29.0,17.4,NA
Ekikotoa,0.097,0.009,0.002,0.363,0.108,0.011,0.311,0.083,0.017,0.41,0.55,18.4,20.0,24.0,21.7,8.6,7.1,72.0,18.9,17.5
Eldoret Nakuru 1aa,0.092,0,0,0.489,0.006,0,0.409,0.005,0,0.41,1.95,11.5,15.8,14.1,14.1,6.9,6.9,1.0,14.5,13.8
Eldoret Nakuru 2a,0.085,0,0,0.349,0.033,0.004,0.478,0.043,0.007,0.53,1.04,21.3,15.6,14.5,14.5,6.9,6.9,1.5,19.8,17.5
Eldoret Nakuru 3a,0.13,0.003,0,0.514,0.032,0.002,0.288,0.028,0.004,0.32,1.12,11.4,15.7,16.3,16.3,7.0,7.0,1.0,11.9,13.6
Eldoret Nakuru 5a,0.15,0.003,0,0.505,0.024,0.001,0.287,0.027,0.001,0.32,1.18,10.9,14.2,20.8,20.8,6.6,6.6,1.0,11.1,13.2
Eldoret Nakuru 6a,0.123,0.001,0,0.53,0.008,0,0.325,0.012,0.001,0.34,1.64,9.6,13.8,24.9,24.9,6.6,6.6,1.0,11.6,12.7
Eldoret Sigawet Dama,0.115,0.006,0.001,0.419,0.107,0.005,0.28,0.059,0.008,0.35,0.62,15.1,16.8,22.5,22.5,8.5,8.2,1.5,16,16.7
Ellis,0.143,0.011,0.001,0.34,0.152,0.019,0.233,0.082,0.022,0.34,0.39,15.8,10.1,12.6,12.6,7.4,7.4,15.5,17.4,12.9
Emerald Tarn,0.26,0.009,0.001,0.393,0.121,0.015,0.145,0.042,0.013,0.2,0.52,9,5.7,7.4,7.4,6.9,6.9,4.0,9.8,6.4
Enchanted,0.324,0.01,0,0.379,0.105,0.012,0.13,0.03,0.011,0.17,0.58,7.4,6.3,8.2,8.2,7.6,7.6,33.3,7.1,4.7
Gallery Tarn,0.231,0.003,0,0.494,0.063,0.013,0.161,0.032,0.004,0.2,0.84,7.2,5.1,7.1,7.1,7.6,7.6,10.4,7.6,5.9
Georgea,0.045,0.007,0.001,0.295,0.116,0.004,0.406,0.116,0.01,0.53,0.48,24.2,25.1,28.5,25.2,9.8,8.8,4.0,23.8,25.7
Hanging Tarn,0.304,0.008,0.001,0.386,0.084,0.016,0.167,0.027,0.008,0.2,0.7,8.1,5.2,8.6,8.6,7.9,7.9,7.5,7.8,3.3
Harris Tarn,0.296,0.002,0,0.54,0.008,0,0.149,0.004,0.001,0.15,1.76,0.6,3.7,5.5,5.5,7.9,7.9,7.1,2.7,6.1
Hausburg Tarn,0.259,0.007,0,0.411,0.105,0.01,0.154,0.034,0.021,0.21,0.61,8.9,5.6,7.9,7.9,8.4,8.4,10.7,9.2,7.6
Hohnell,0.215,0.018,0.002,0.315,0.214,0.019,0.132,0.065,0.02,0.22,0.2,11.3,6.4,7.9,7.9,7.3,7.3,8.5,14.8,9.1
Hut Tarn,0.255,0.005,0.001,0.454,0.067,0.013,0.181,0.018,0.006,0.2,0.87,7.4,4.9,5.7,5.7,7.6,7.6,7.9,7.8,4.3
Ibada Pool,0.108,0.003,0.001,0.429,0.027,0.004,0.384,0.034,0.009,0.43,1.12,16.3,18.4,15.3,14.8,7.9,8.0,4.6,15.9,14.7
Ibamba,0.023,0.001,0,0.291,0.023,0.003,0.585,0.061,0.014,0.66,1.02,27.3,23.8,25.7,21.9,6.9,6.3,1.2,24.8,22.5
Irene,0.587,0.003,0,0.302,0.009,0,0.097,0.003,0,0.1,1.53,-0.6,1.6,2.6,2.6,5.8,5.8,3.5,-3.3,-0.6
Kacuba,0.047,0.003,0,0.337,0.097,0.011,0.375,0.102,0.028,0.5,0.55,22.6,23.5,26.8,26.8,8.1,8.1,14.5,22.2,21.1
Kaitabarago,0.099,0.009,0.003,0.376,0.124,0.011,0.283,0.082,0.014,0.38,0.5,17.2,19.9,23.1,21.6,8.0,6.0,70.0,18.3,17.2
Kako,0.036,0.003,0,0.342,0.087,0.006,0.407,0.102,0.017,0.53,0.6,23.4,21.2,25.0,23.4,8.2,6.7,29.0,22.6,23.4
Kamsongis Poola,0.411,0.001,0,0.398,0.011,0.001,0.172,0.005,0,0.18,1.54,2.8,1.5,2.1,2.1,5.4,5.4,0.5,2,3.8
Kamweru,0.044,0.002,0,0.369,0.054,0.002,0.446,0.076,0.007,0.53,0.8,22.5,22.5,25.0,23.3,8.7,6.6,44.0,21.2,22.2
Kanganyika,0.261,0.002,0.001,0.451,0.016,0.006,0.253,0.008,0.002,0.26,1.46,7.1,5.1,8.5,7.1,5.3,4.9,25.0,7.6,6.4
