Lake,III,IIIb,IIIc,II,IIb,IIc,I,Ib,Ic,MAAT
Alice,0.197,0.005,0,0.53,0.057,0.007,0.18,0.018,0.005,9.6
Bandasa,0.086,0.002,0.001,0.451,0.033,0.007,0.362,0.047,0.013,12.8
Batodaa,0.339,0.002,0.001,0.449,0.014,0.003,0.186,0.006,0.001,4.2
Bigata,0.31,0.002,0.001,0.451,0.012,0.006,0.214,0.004,0.001,4.2
Bugwagi,0.031,0.005,0.001,0.31,0.127,0.012,0.343,0.15,0.021,24
Bujuku,0.411,0.004,0.001,0.383,0.029,0.006,0.15,0.013,0.003,4.6
Bukurungu East,0.258,0.002,0.001,0.464,0.017,0.008,0.243,0.005,0.003,5.4
Challaa,0.094,0.006,0,0.399,0.092,0.006,0.302,0.088,0.012,23.4
Chibwera,0.054,0.004,0.001,0.293,0.105,0.011,0.386,0.121,0.026,24.6
Ekikotoa,0.097,0.009,0.002,0.363,0.108,0.011,0.311,0.083,0.017,20
Eldoret Nakuru 1aa,0.092,0,0,0.489,0.006,0,0.409,0.005,0,15.8
Eldoret Nakuru 2a,0.085,0,0,0.349,0.033,0.004,0.478,0.043,0.007,15.6
Eldoret Nakuru 3a,0.13,0.003,0,0.514,0.032,0.002,0.288,0.028,0.004,15.7
Eldoret Nakuru 5a,0.15,0.003,0,0.505,0.024,0.001,0.287,0.027,0.001,14.2
Eldoret Nakuru 6a,0.123,0.001,0,0.53,0.008,0,0.325,0.012,0.001,13.8
Eldoret Sigawet Dama,0.115,0.006,0.001,0.419,0.107,0.005,0.28,0.059,0.008,16.8
Ellis,0.143,0.011,0.001,0.34,0.152,0.019,0.233,0.082,0.022,10.1
Emerald Tarn,0.26,0.009,0.001,0.393,0.121,0.015,0.145,0.042,0.013,5.7
Enchanted,0.324,0.01,0,0.379,0.105,0.012,0.13,0.03,0.011,6.3
Gallery Tarn,0.231,0.003,0,0.494,0.063,0.013,0.161,0.032,0.004,5.1
Georgea,0.045,0.007,0.001,0.295,0.116,0.004,0.406,0.116,0.01,25.1
Hanging Tarn,0.304,0.008,0.001,0.386,0.084,0.016,0.167,0.027,0.008,5.2
Harris Tarn,0.296,0.002,0,0.54,0.008,0,0.149,0.004,0.001,3.7
Hausburg Tarn,0.259,0.007,0,0.411,0.105,0.01,0.154,0.034,0.021,5.6
Hohnell,0.215,0.018,0.002,0.315,0.214,0.019,0.132,0.065,0.02,6.4
Hut Tarn,0.255,0.005,0.001,0.454,0.067,0.013,0.181,0.018,0.006,4.9
Ibada Pool,0.108,0.003,0.001,0.429,0.027,0.004,0.384,0.034,0.009,18.4
Ibamba,0.023,0.001,0,0.291,0.023,0.003,0.585,0.061,0.014,23.8
Irene,0.587,0.003,0,0.302,0.009,0,0.097,0.003,0,1.6
Kacuba,0.047,0.003,0,0.337,0.097,0.011,0.375,0.102,0.028,23.5
Kaitabarago,0.099,0.009,0.003,0.376,0.124,0.011,0.283,0.082,0.014,19.9
Kako,0.036,0.003,0,0.342,0.087,0.006,0.407,0.102,0.017,21.2
